KNN3,,,,,,,,,,
KNN7,5.0002*,,,,,,,,,
SVR,56.3675*,58.4688*,,,,,,,,
DTR,2.1605*,6.1282*,56.3802*,,,,,,,
RFR,18.7910*,9.2253*,57.5154*,7.4408*,,,,,,
GBR,13.6827*,7.8972*,56.6521*,4.8027*,1.3853*,,,,,
ADR,1.3850*,1.4011*,55.0049*,3.1219*,10.9838*,20.7529*,,,,
Lasso,244.1457*,61.2159*,34.9750*,468.2143*,538.1506*,596.3651*,266.5793*,,,
Ridge,114.4746*,27.9326*,40.1239*,246.6471*,229.1962*,242.9085*,251.2607*,13.1683*,,
EN,244.1294*,61.2234*,34.9741*,468.0386*,538.0215*,596.1350*,266.3859*,0.6322*,13.1525*,
,KNN3,KNN7,SVR,DTR,RFR,GBR,ADR,Lasso,Ridge,EN
