KNN3,,,,,,,,,,
KNN7,5.3067*,,,,,,,,,
SVR,81.4146*,84.0552*,,,,,,,,
DTR,2.1229*,6.3832*,80.3826*,,,,,,,
RFR,17.1715*,9.8474*,82.7474*,7.6557*,,,,,,
GBR,13.5268*,8.4232*,81.4322*,5.0301*,1.3954*,,,,,
ADR,1.3863*,1.4097*,78.4917*,3.1168*,10.9796*,22.0693*,,,,
Lasso,203.6178*,50.4211*,45.6868*,276.8989*,332.8035*,418.3187*,202.1616*,,,
Ridge,128.4580*,26.5405*,53.2967*,254.4270*,252.8430*,313.2273*,297.2055*,12.0026*,,
EN,203.5757*,50.4240*,45.6856*,276.7817*,332.6778*,418.0852*,202.0181*,0.6301*,11.9890*,
,KNN3,KNN7,SVR,DTR,RFR,GBR,ADR,Lasso,Ridge,EN
