KNN3,,,,,,,,,,
KNN7,3.2254*,,,,,,,,,
SVR,73.1489*,75.6833*,,,,,,,,
DTR,1.9720*,3.0260*,65.9040*,,,,,,,
RFR,6.9143*,6.0786*,67.1207*,17.9858*,,,,,,
GBR,7.8940*,6.1881*,67.0981*,14.6933*,3.1510*,,,,,
ADR,1.5158*,2.7136*,63.7023*,0.6235*,11.0110*,21.8852*,,,,
Lasso,22.1327*,4.0908*,55.9246*,68.7156*,199.7055*,153.4631*,41.3282*,,,
Ridge,21.9401*,2.4740*,57.4510*,111.1920*,603.6960*,494.6413*,57.5206*,9.8403*,,
EN,22.1230*,4.0892*,55.9233*,68.6903*,199.6015*,153.4426*,41.3137*,0.5754*,9.8408*,
,KNN3,KNN7,SVR,DTR,RFR,GBR,ADR,Lasso,Ridge,EN
