KNN3,,,,,,,,,,
KNN7,3.4015*,,,,,,,,,
SVR,156.4720*,152.4053*,,,,,,,,
DTR,1.1046*,2.0109*,130.2805*,,,,,,,
RFR,24.4336*,17.6833*,151.0447*,68.9830*,,,,,,
GBR,19.8374*,14.4992*,151.0839*,36.9249*,1.7624*,,,,,
ADR,5.8076*,0.9871*,120.8401*,6.4731*,29.8524*,40.7800*,,,,
Lasso,233.1963*,114.2959*,84.6403*,358.3685*,1024.7332*,1548.3191*,113.7617*,,,
Ridge,240.2002*,69.1169*,102.5536*,235.0873*,1110.6605*,988.6017*,76.9168*,67.1816*,,
EN,233.1620*,114.2496*,84.6392*,358.4481*,1025.2815*,1549.5279*,113.7614*,0.8757*,67.2808*,
,KNN3,KNN7,SVR,DTR,RFR,GBR,ADR,Lasso,Ridge,EN
